method,AUROC,AUPRC,TPR,FPR,benchmark_score
edgeR,0.7316880104480363,0.07255853960544471,0.2734652061711119,0.04847898822494696,0.431331434930446
seurat_wilcoxon,0.5954198400505517,0.024039649540704863,0.3366806120151985,0.1901978192583339,0.36512716183414606
MAST,0.5972315600714027,0.018308043771910924,0.33239065046630806,0.19021040115826546,0.36289595132259483
scanpy_wilcoxon,0.6106465724848398,0.03990065047135788,0.16866565175743917,0.04871605891425345,0.3565530524947316
scanpy_ttest,0.6103556757762563,0.034788227389443586,0.15061991148947668,0.0488909097910026,0.35103525742679004
DESeq2,0.40646896410119876,0.018958354059390396,0.06553692668774046,0.05005149570716797,0.2570017971230375
limma_voom,0.32037980285738976,0.023955244370017285,0.07831529772033204,0.04997376352509525,0.23118294972114936
