dataset,method,comparison,truth_table,n_genes_no_cov,n_truth_genes_no_cov,AUROC_no_cov,AUPRC_no_cov,TPR_no_cov,FPR_no_cov,benchmark_score_no_cov,model_no_cov,n_genes_with_cov,n_truth_genes_with_cov,AUROC_with_cov,AUPRC_with_cov,TPR_with_cov,FPR_with_cov,benchmark_score_with_cov,model_with_cov,delta_benchmark_score,delta_AUROC,delta_AUPRC,delta_TPR,delta_FPR
SCMixology_5cl_CELseq2_merged,DESeq2,A549_vs_H1975,H1975_DEtable,16030,57,0.6710194066522344,0.017047976644044,0.2982456140350877,0.0491454329180492,0.39555816366891,no_covariate,16030,57,0.6603973152062526,0.0181964101084289,0.2807017543859649,0.0492080385650785,0.3887273508808236,with_covariate,-0.006830812788086393,-0.010622091445981807,0.0011484334643848994,-0.017543859649122806,6.26056470292985e-05
SCMixology_5cl_CELseq2_merged,MAST,A549_vs_H1975,H1975_DEtable,16074,57,0.6155137797668924,0.0266483179273506,0.3508771929824561,0.0489479927576949,0.3900373735137067,no_covariate,16074,57,0.6238777001190621,0.0263025855986479,0.3508771929824561,0.0489479927576949,0.3928437393219202,with_covariate,0.0028063658082134735,0.008363920352169707,-0.00034573232870270185,0.0,0.0
SCMixology_5cl_CELseq2_merged,edgeR,A549_vs_H1975,H1975_DEtable,12070,32,0.8180163856122279,0.0270580889414011,0.53125,0.0487622528659245,0.4971498408071776,no_covariate,12070,32,0.8081491942183088,0.0336024782955988,0.5,0.0488453231433793,0.4897285530655297,with_covariate,-0.007421287741647908,-0.009867191393919117,0.0065443893541977,-0.03125,8.307027745479978e-05
SCMixology_5cl_CELseq2_merged,limma_voom,A549_vs_H1975,H1975_DEtable,12070,32,0.703457281109819,0.0192572684583593,0.1875,0.0496760259179265,0.3854824897570698,no_covariate,12070,32,0.736924219139392,0.0291467732737876,0.46875,0.048928393420834,0.4569820080025294,with_covariate,0.07149951824545964,0.03346693802957301,0.009889504815428302,0.28125,-0.0007476324970924972
