method,delta_benchmark_score,delta_AUROC,delta_AUPRC,delta_TPR,delta_FPR
DESeq2,-0.006830812788086393,-0.010622091445981807,0.0011484334643848994,-0.017543859649122806,6.26056470292985e-05
MAST,0.0028063658082134735,0.008363920352169707,-0.00034573232870270185,0.0,0.0
edgeR,-0.007421287741647908,-0.009867191393919117,0.0065443893541977,-0.03125,8.307027745479978e-05
limma_voom,0.07149951824545964,0.03346693802957301,0.009889504815428302,0.28125,-0.0007476324970924972
