model,method,AUROC,AUPRC,TPR,FPR,benchmark_score
no_covariate,DESeq2,0.6710194066522344,0.017047976644044,0.2982456140350877,0.0491454329180492,0.39555816366891
no_covariate,MAST,0.6155137797668924,0.0266483179273506,0.3508771929824561,0.0489479927576949,0.3900373735137067
no_covariate,edgeR,0.8180163856122279,0.0270580889414011,0.53125,0.0487622528659245,0.4971498408071776
no_covariate,limma_voom,0.703457281109819,0.0192572684583593,0.1875,0.0496760259179265,0.3854824897570698
with_covariate,DESeq2,0.6603973152062526,0.0181964101084289,0.2807017543859649,0.0492080385650785,0.3887273508808236
with_covariate,MAST,0.6238777001190621,0.0263025855986479,0.3508771929824561,0.0489479927576949,0.3928437393219202
with_covariate,edgeR,0.8081491942183088,0.0336024782955988,0.5,0.0488453231433793,0.4897285530655297
with_covariate,limma_voom,0.736924219139392,0.0291467732737876,0.46875,0.048928393420834,0.4569820080025294
